title,rating,box_office,budget,runtime,release_year,sadness,joy,love,anger,fear,surprise,Team_Review_Score_sum,Team_Review_Score_mean,Team_Audience_Score_Mean,Team_Tomato_Meter_Mean,Team_Num_reviews,Cast_Review_Score_sum,Cast_Review_Score_mean,Cast_Audience_Score_Mean,Cast_Tomato_Meter_Mean,Cast_Num_reviews,Cast_audienceScore,Cast_tomatoMeter,Team_audienceScore,Team_tomatoMeter,is_in_collection,collection_id,collection_box_office_average,cast_top_1_contrib,cast_top_2_contrib,cast_top_3_contrib,cast_top_4_contrib,cast_top_5_contrib,director_top_1_contrib,writer_top_1_contrib,writer_top_2_contrib,writer_top_3_contrib,distributor_top_1_contrib,,sony pictures releasing,universal pictures,warner bros.,new line cinema,columbia pictures,warner bros. pictures,buena vista pictures distribution,paramount pictures,20th century fox,surround,dolby sr,dts,sdds,dolby digital,some violence,some language,drug use,violence,sexual content,thematic elements,sexuality,nudity,language,pervasive language,action,sci-fi,romance,kids & family,drama,adventure,comedy,horror,fantasy,mystery & thriller,Unknown Cast,Star Studded Cast,Steady Performers,Emerging Ensemble,Unknown Director / Writer,Established Team,Blockbuster Team,Emerging Director / Writer
1969,0,5979011.0,7000000.0,95.0,1988.0,0.0025978768244385,0.0017935378709807,0.0004589926975313,0.0360662192106246,0.9585292339324952,0.0005541267455555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,87.0,93.0,False,0.0,0.0,164917407.68571427,68820487.95,45959087.125,23339505.5,16840662.916666668,5979011.0,4884752.0,,,3404801.8333333335,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2 days in the valley,0,11000000.0,0.0,105.0,1996.0,0.0108185848221182,0.009996642358601,0.0013540432555601,0.2457601726055145,0.7301364541053772,0.0019341300940141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,44.0,37.0,32.0,False,0.0,0.0,156321861.0,63616419.192307696,27993752.25,21641427.181818184,11000000.0,17323476.0,17323476.0,,,27675385.9122807,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
2 fast 2 furious,3,236400000.0,76000000.0,108.0,2003.0,0.0515533983707428,0.0866256132721901,0.0029149216134101,0.8185124397277832,0.0386089123785495,0.0017847544513642,1.5592,0.1949,79.125,62.625,8.0,1.0185,0.50925,52.0,40.5,2.0,82.0,81.0,50.0,36.0,True,9485.0,641112500.0,640216666.6666666,561853846.1538461,212921788.15,116424741.54545455,73367998.5,75988888.8888889,180700000.0,180700000.0,178240000.0,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2 guns,6,131900000.0,61000000.0,109.0,2013.0,0.0014460700331255,0.0020161864813417,0.0004086466797161,0.0233927685767412,0.9716481566429138,0.0010881485650315,1.0781,0.3593666666666666,73.0,95.0,3.0,84.25309999999999,0.2515017910447761,69.93731343283582,63.33933933933934,335.0,41.0,54.0,65.0,69.0,False,0.0,0.0,191454770.6153846,163063643.9,124970636.73913044,101345716.83333333,42639555.461538464,143866666.66666666,131900000.0,,,98087031.61585365,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
200 cigarettes,0,6900000.0,6000000.0,101.0,1999.0,0.0011393255554139,0.0021259798668324,0.0002992251829709,0.0057694083079695,0.9899986386299132,0.0006673514144495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,59.0,30.0,False,0.0,0.0,165517901.75,97800000.0,24700228.0,12200000.0,4450000.0,6900000.0,6900000.0,,,96204226.7745098,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
2010,0,40400000.0,28000000.0,116.0,1984.0,0.1816010177135467,0.0199335105717182,0.0019162138924002,0.2959427833557129,0.4978929460048675,0.0027135335840284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,78.0,58.0,59.0,True,4438.0,40400000.0,79763798.5263158,76555154.75,40400000.0,34414218.27272727,32594017.866666667,41980096.8,40400000.0,15160000.0,,70792151.84210527,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2012,3,791200000.0,200000000.0,158.0,2009.0,0.0050143115222454,0.0437837317585945,0.0026136625092476,0.0868828669190406,0.8568318486213684,0.0048736156895756,0.0,0.0,0.0,0.0,0.0,32.49679999999999,0.4113518987341771,66.34177215189874,61.43037974683544,79.0,50.0,37.0,,,False,0.0,0.0,228188683.3,217207500.0,139158425.84615386,85733093.33333333,52678094.19444445,446527272.72727275,530500000.0,,,122711155.8005865,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
21,3,159800000.0,35000000.0,123.0,2008.0,0.0076009086333215,0.1274090856313705,0.0122474366798996,0.8465594053268433,0.0042357952333986,0.0019473297288641,1.1879,0.3959666666666666,54.66666666666666,58.333333333333336,3.0,3.3332,0.3333199999999999,57.8,63.5,10.0,78.0,45.0,35.0,7.0,False,0.0,0.0,102333333.33333333,69239397.0,68570220.53333333,,,114114285.71428572,90500000.0,,,122711155.8005865,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
222,3,3945729.0,0.0,98.0,2017.0,0.0034461587201803,0.986263632774353,0.0005403105751611,0.0014628034550696,0.005297097377479,0.0029899729415774,0.0,0.0,42.0,36.0,1.0,2.5629,0.42715,55.66666666666666,50.833333333333336,6.0,37.0,20.0,,,False,0.0,0.0,88120086.42857143,34822864.5,3945729.0,,,3945729.0,6852916.5,,,30910835.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False
237,0,447290.0,850000.0,95.0,2006.0,0.9975237250328064,0.0006460172589868,0.0002338296180823,0.0005083276773802,0.0008205492631532,0.0002675906871445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,67.0,72.0,38.0,False,0.0,0.0,88120086.42857143,447290.0,,,,447290.0,447290.0,,,52297422.96551724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
24 hour party people,6,2800000.0,0.0,117.0,2002.0,0.0017247865907847,0.0023831797298043,0.0004344701592344,0.977268636226654,0.0177094116806983,0.0004795658460352,0.6369,0.2123,73.0,62.66666666666666,3.0,0.4019,0.4019,63.0,57.0,1.0,73.0,87.0,52.0,63.0,False,0.0,0.0,114980025.0,60658391.75,30781454.333333332,22088133.333333332,6381800.0,2736086.727272727,5000000.0,,,40941967.05555555,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
27 dresses,3,162700000.0,30000000.0,111.0,2008.0,0.006003834772855,0.0013893564464524,0.0006437794072553,0.9907604455947876,0.0009700044174678,0.0002325063978787,0.8602,0.17204,74.4,31.2,5.0,6.287700000000001,0.2858045454545455,47.59090909090909,42.54545454545455,22.0,40.0,7.0,39.0,36.0,False,0.0,0.0,104757142.85714285,97161538.46153846,96612261.70588236,90380263.42857143,70390400.375,123129171.83333333,157216666.66666666,,,105403546.78305785,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
28 days,3,62200000.0,43000000.0,104.0,2000.0,0.8072661757469177,0.0031477347947657,0.0009487915085628,0.0686846002936363,0.1185339093208313,0.0014187486376613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,35.0,41.0,False,0.0,0.0,216275948.52941176,135792121.15789473,79329367.5,71900000.0,15106151.444444444,142480162.42857143,115716666.66666667,,,122711155.8005865,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
